,degs,clos,betw,eigen
entrez gene/locuslink:853059,0.0088,0.2776,0.0,0.0018
entrez gene/locuslink:850447,0.104,0.3211,0.0034,0.0131
entrez gene/locuslink:854850,0.0022,0.2737,0.0,0.0016
entrez gene/locuslink:855402,0.0221,0.3144,0.0004,0.0144
entrez gene/locuslink:853010,0.0642,0.3124,0.0008,0.0192
entrez gene/locuslink:855605,0.0929,0.3154,0.0032,0.0116
entrez gene/locuslink:856197,0.0221,0.295,0.0007,0.0042
entrez gene/locuslink:852344,0.0199,0.3087,0.0005,0.0106
entrez gene/locuslink:856058,0.0863,0.3429,0.0045,0.017
entrez gene/locuslink:852091,0.0664,0.3276,0.0021,0.0155
entrez gene/locuslink:856926,0.0376,0.2936,0.0004,0.0041
entrez gene/locuslink:854656,0.073,0.3056,0.0005,0.0129
entrez gene/locuslink:852673,0.0841,0.3224,0.0013,0.0161
entrez gene/locuslink:856736,0.0509,0.299,0.0002,0.0127
entrez gene/locuslink:851787,0.0133,0.2827,0.0001,0.0034
entrez gene/locuslink:856749,0.0354,0.3226,0.0008,0.0144
entrez gene/locuslink:852348,0.2367,0.3445,0.0056,0.0868
entrez gene/locuslink:854212,0.0664,0.3144,0.0015,0.0126
entrez gene/locuslink:854352,0.0044,0.2512,0.0,0.0004
entrez gene/locuslink:850990,0.0088,0.2793,0.0001,0.0016
entrez gene/locuslink:851106,0.0044,0.2347,0.0,0.0003
entrez gene/locuslink:851723,0.042,0.2959,0.0004,0.0096
entrez gene/locuslink:852474,0.0133,0.292,0.0001,0.0034
entrez gene/locuslink:853589,0.1327,0.31,0.0017,0.017
entrez gene/locuslink:854278,0.0133,0.2744,0.0001,0.0015
entrez gene/locuslink:850934,0.0265,0.2961,0.0007,0.0048
entrez gene/locuslink:853848,0.0199,0.2951,0.0002,0.0041
entrez gene/locuslink:855492,0.0796,0.3279,0.0028,0.0122
entrez gene/locuslink:853434,0.1327,0.3361,0.0043,0.056
entrez gene/locuslink:854970,0.0265,0.2772,0.0002,0.0024
entrez gene/locuslink:855708,0.0111,0.2736,0.0,0.0014
entrez gene/locuslink:855264,0.042,0.3047,0.0007,0.0087
entrez gene/locuslink:855073,0.0398,0.2975,0.0001,0.0233
